description,url,price,rating,review_count,author,binding,bestseller
Long Shadows: A Novel,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A096850836QFZN53XZVD6&url=%2FLong-Shadows-Novel-Abigail-Cutter%2Fdp%2F1647423872%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3O8O36XTXBKAX%26keywords%3Dnovels%26qid%3D1664557133%26qu%3DeyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%253D%253D%26sprefix%3Dnovels%252Caps%252C336%26sr%3D8-1-spons%26psc%3D1&qualifier=1664557133&id=1883545531651772&widgetName=sp_atf,15.26,4.5 out of 5 stars,49,Abigail Cutter,Paperback,No
Her Majesty's Auditor: An Adventure Novel with Steampunk Elements,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A072203535BXC5U6PSZL0&url=%2FHer-Majestys-Auditor-Adventure-Steampunk%2Fdp%2F164953339X%2Fref%3Dsr_1_3_sspa%3Fcrid%3D3O8O36XTXBKAX%26keywords%3Dnovels%26qid%3D1664557133%26qu%3DeyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%253D%253D%26sprefix%3Dnovels%252Caps%252C336%26sr%3D8-3-spons%26psc%3D1&qualifier=1664557133&id=1883545531651772&widgetName=sp_atf,13.99,5.0 out of 5 stars,1,Markus Pfeiler,Paperback,No
Things We Never Got Over,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A057088631UBIMTXBTP9V&url=%2FThings-We-Never-Got-Over%2Fdp%2F1728278872%2Fref%3Dsr_1_4_sspa%3Fcrid%3D3O8O36XTXBKAX%26keywords%3Dnovels%26qid%3D1664557133%26qu%3DeyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%253D%253D%26sprefix%3Dnovels%252Caps%252C336%26sr%3D8-4-spons%26psc%3D1&qualifier=1664557133&id=1883545531651772&widgetName=sp_atf,14.24,4.5 out of 5 stars,75881,Lucy Score,Paperback,No
In Five Years: A Novel,https://www.amazon.com/Five-Years-Novel-Rebecca-Serle/dp/1982137452/ref=sr_1_5?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557133&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-5,10.03,4.3 out of 5 stars,36409,Rebecca Serle,Paperback,Editors' pick
Fairy Tale,https://www.amazon.com/Audible-Fairy-Tale/dp/B09R5ZPY6Y/ref=sr_1_6?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557133&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-6,0.00,4.7 out of 5 stars,7870,"Stephen King, Seth Numrich, et al.",Audible Audiobook,Best Seller
The Ink Black Heart,https://www.amazon.com/Audible-The-Ink-Black-Heart/dp/B09WBTRGNL/ref=sr_1_7?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557133&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-7,0.00,4.2 out of 5 stars,10634,Book 6 of 6: Cormoran Strike,Audible Audiobook,Best Seller
The Nightingale: A Novel,https://www.amazon.com/Nightingale-Novel-Kristin-Hannah/dp/1250080401/ref=sr_1_9?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557133&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-9,8.28,4.8 out of 5 stars,99864,Kristin Hannah,Paperback,Editors' pick
It Ends with Us: A Novel (1),https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/dp/1501110365/ref=sr_1_10?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557133&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-10,9.99,4.7 out of 5 stars,168630,Book 1 of 2: It Ends with Us,Paperback,Best Seller
Lessons in Chemistry: A Novel,https://www.amazon.com/Lessons-Chemistry-Novel-Bonnie-Garmus-ebook/dp/B098PW8NP8/ref=sr_1_11?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557133&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-11,14.99,4.6 out of 5 stars,40700,Bonnie Garmus,Kindle,Best Seller
The Butcher and The Wren: A Novel,https://www.amazon.com/Butcher-Wren-Novel-Alaina-Urquhart/dp/1638930147/ref=sr_1_12?crid=3O8O36XTXBKAX&keywords=novels&qid=1664557133&qu=eyJxc2MiOiI4LjQ2IiwicXNhIjoiNy43MyIsInFzcCI6IjcuNjEifQ%3D%3D&sprefix=novels%2Caps%2C336&sr=8-12,16.53,4.6 out of 5 stars,1696,Alaina Urquhart,Hardcover,Editors' pick
